lastlogin,EMPID,OpCoemailend,firstName,lastName,email,level,managerID,emailRelationship,BusinessArea
01/01/2019,1,acme.co.uk,Aubrey,Cushelly,aubrey.cushelly@acme.co.uk,1,0,1,Audit
01/01/2019,2,acmehealth.co.uk,Valry,Prisk,valry.prisk@acmehealth.co.uk,2,1,2,Audit
01/01/2019,3,acme.com,Raquela,Palia,raquela.palia@acme.com,2,1,3,Audit
01/01/2019,4,acme.com,Gerhard,Guiso,gerhard.guiso@acme.com,3,3,3,Audit
01/01/2019,5,acme.co.uk,Haven,Berford,haven.berford@acme.co.uk,3,2,1,Audit
01/01/2019,6,acme.co.uk,Hartley,Sproston,hartley.sproston@acme.co.uk,3,2,1,Audit
01/01/2019,7,acme.co.uk,Kerstin,Beaumont,kerstin.beaumont@acme.co.uk,2,1,1,Audit
01/01/2019,8,acme.com,Maje,Going,maje.going@acme.com,3,3,3,Audit
01/01/2019,9,acmehealth.co.uk,Eugenie,Chatelain,eugenie.chatelain@acmehealth.co.uk,3,2,2,Audit
01/01/2019,10,acme.com,Rebeca,Rimmington,rebeca.rimmington@acme.com,4,4,3,Audit
01/01/2019,11,acme.co.uk,Cynthea,Blodgett,cynthea.blodgett@acme.co.uk,4,5,1,Claims
01/01/2019,12,acme.co.uk,Sigrid,Goble,sigrid.goble@acme.co.uk,4,5,1,Claims
01/01/2019,13,acmehealth.co.uk,Erna,Yeaman,erna.yeaman@acmehealth.co.uk,3,2,2,Claims
01/01/2019,14,acmehealth.co.uk,Irena,Segges,irena.segges@acmehealth.co.uk,4,9,2,Claims
01/01/2019,15,acme.com,Tania,Pepin,tania.pepin@acme.com,4,4,3,Claims
01/01/2019,16,acme.com,Edee,Nesbitt,edee.nesbitt@acme.com,4,4,3,Claims
01/01/2019,17,acme.com,Idaline,Laidlaw,idaline.laidlaw@acme.com,4,4,3,Claims
01/01/2019,18,acmehealth.co.uk,Kimberlee,Chestney,kimberlee.chestney@acmehealth.co.uk,4,9,2,Claims
01/01/2019,19,acmehealth.co.uk,Brady,Groocock,brady.groocock@acmehealth.co.uk,4,9,2,Claims
01/01/2019,20,acme.co.uk,Victoir,Posnett,victoir.posnett@acme.co.uk,4,6,1,Claims
01/01/2019,21,acme.co.uk,Godiva,Vinsen,godiva.vinsen@acme.co.uk,4,6,1,Claims
01/01/2019,22,acme.com,Thaxter,Probbin,thaxter.probbin@acme.com,4,8,3,Claims
01/01/2019,23,acme.co.uk,Laurice,Aslum,laurice.aslum@acme.co.uk,3,7,1,Claims
01/01/2019,24,acmehealth.co.uk,Leonore,Lansley,leonore.lansley@acmehealth.co.uk,4,13,2,Claims
01/01/2019,25,acme.co.uk,Gideon,Goodlake,gideon.goodlake@acme.co.uk,3,7,1,Claims
01/01/2019,26,acme.co.uk,Korey,Mackney,korey.mackney@acme.co.uk,5,11,1,Claims
01/01/2019,27,acme.co.uk,Vlad,Boswood,vlad.boswood@acme.co.uk,5,11,1,Facilities
01/01/2019,28,acme.com,Jared,Davenall,jared.davenall@acme.com,4,8,3,Facilities
01/01/2019,29,acme.com,Cori,O'Hogertie,cori.o'hogertie@acme.com,5,10,3,Facilities
01/01/2019,30,acme.co.uk,Ethelind,Matyja,ethelind.matyja@acme.co.uk,5,11,1,Facilities
01/01/2019,31,acmehealth.co.uk,Grover,Milley,grover.milley@acmehealth.co.uk,5,14,2,Facilities
01/01/2019,32,acme.co.uk,Ario,Beine,ario.beine@acme.co.uk,5,11,1,Facilities
01/01/2019,33,acmehealth.co.uk,Elayne,Gilbank,elayne.gilbank@acmehealth.co.uk,5,14,2,Facilities
01/01/2019,34,acme.co.uk,Adham,Ruoss,adham.ruoss@acme.co.uk,5,11,1,Facilities
01/01/2019,35,acme.co.uk,Shane,Astling,shane.astling@acme.co.uk,5,12,1,Facilities
01/01/2019,36,acme.com,Isis,Bradick,isis.bradick@acme.com,5,10,3,Facilities
01/01/2019,37,acmehealth.co.uk,Chick,Soper,chick.soper@acmehealth.co.uk,5,14,2,Facilities
01/01/2019,38,acme.co.uk,Cynthie,Parram,cynthie.parram@acme.co.uk,5,12,1,Facilities
01/01/2019,39,acmehealth.co.uk,Sianna,Skoughman,sianna.skoughman@acmehealth.co.uk,5,18,2,Facilities
01/01/2019,40,acmehealth.co.uk,Chas,Ditch,chas.ditch@acmehealth.co.uk,5,18,2,Facilities
01/01/2019,41,acme.com,Marisa,Simic,marisa.simic@acme.com,5,15,3,Facilities
01/01/2019,42,acme.com,Bearnard,Tames,bearnard.tames@acme.com,5,15,3,Facilities
01/01/2019,43,acme.co.uk,Brit,Watt,brit.watt@acme.co.uk,5,12,1,Facilities
01/01/2019,44,acmehealth.co.uk,Salvador,Fontenot,salvador.fontenot@acmehealth.co.uk,5,19,2,Facilities
01/01/2019,45,acme.com,Hube,Bum,hube.bum@acme.com,5,16,3,Facilities
01/01/2019,46,acmehealth.co.uk,Harp,Hadcock,harp.hadcock@acmehealth.co.uk,5,19,2,Facilities
01/01/2019,47,acme.co.uk,Amelie,Showell,amelie.showell@acme.co.uk,5,12,1,Facilities
01/01/2019,48,acme.com,Deirdre,Fane,deirdre.fane@acme.com,5,16,3,Facilities
01/01/2019,49,acme.co.uk,Shela,Whereat,shela.whereat@acme.co.uk,5,20,1,Facilities
01/01/2019,50,acme.co.uk,Bentlee,Durrance,bentlee.durrance@acme.co.uk,5,20,1,Facilities
01/01/2019,51,acmehealth.co.uk,Wynnie,Thickpenny,wynnie.thickpenny@acmehealth.co.uk,6,34,2,Finance
01/01/2019,52,acme.com,Brittani,Tilio,brittani.tilio@acme.com,5,17,3,Finance
01/01/2019,53,acmehealth.co.uk,Raven,Gloves,raven.gloves@acmehealth.co.uk,6,34,2,Finance
01/01/2019,54,acme.co.uk,Maxi,Calderwood,maxi.calderwood@acme.co.uk,5,20,1,Finance
01/01/2019,55,acmehealth.co.uk,Oswald,Wiggall,oswald.wiggall@acmehealth.co.uk,6,31,2,Finance
01/01/2019,56,acmehealth.co.uk,Matelda,Knowlys,matelda.knowlys@acmehealth.co.uk,6,31,2,Finance
01/01/2019,57,acmehealth.co.uk,Nell,Gherardi,nell.gherardi@acmehealth.co.uk,6,33,2,Finance
01/01/2019,58,acme.co.uk,Bobette,Bartolomucci,bobette.bartolomucci@acme.co.uk,5,21,1,Finance
01/01/2019,59,acmehealth.co.uk,Israel,Gannicleff,israel.gannicleff@acmehealth.co.uk,6,33,2,Finance
01/01/2019,60,acme.com,Tremaine,McKea,tremaine.mckea@acme.com,5,17,3,Finance
01/01/2019,61,acmehealth.co.uk,Herb,Anniwell,herb.anniwell@acmehealth.co.uk,6,37,2,Finance
01/01/2019,62,acmehealth.co.uk,Bordy,Hummerston,bordy.hummerston@acmehealth.co.uk,6,37,2,Finance
01/01/2019,63,acmehealth.co.uk,Albrecht,MacConnal,albrecht.macconnal@acmehealth.co.uk,6,37,2,Finance
01/01/2019,64,acmehealth.co.uk,Ally,Challin,ally.challin@acmehealth.co.uk,6,39,2,Finance
01/01/2019,65,acmehealth.co.uk,Dominik,Heyball,dominik.heyball@acmehealth.co.uk,6,39,2,Finance
01/01/2019,66,acme.co.uk,Kirby,Janc,kirby.janc@acme.co.uk,5,21,1,Finance
01/01/2019,67,acmehealth.co.uk,Johannah,Leghorn,johannah.leghorn@acmehealth.co.uk,6,40,2,Finance
01/01/2019,68,acmehealth.co.uk,Katleen,Lawlan,katleen.lawlan@acmehealth.co.uk,6,40,2,HR
01/01/2019,69,acme.com,Brenna,Managh,brenna.managh@acme.com,5,22,3,HR
01/01/2019,70,acmehealth.co.uk,Torrin,Del Monte,torrin.del monte@acmehealth.co.uk,6,40,2,HR
01/01/2019,71,acme.com,Sarette,Lared,sarette.lared@acme.com,5,22,3,HR
01/01/2019,72,acme.com,Danya,O'Boyle,danya.o'boyle@acme.com,5,22,3,HR
01/01/2019,73,acme.com,Dickie,Keenor,dickie.keenor@acme.com,5,22,3,HR
01/01/2019,74,acme.co.uk,Rebeca,Freestone,rebeca.freestone@acme.co.uk,4,23,1,HR
01/01/2019,75,acmehealth.co.uk,Marena,Girling,marena.girling@acmehealth.co.uk,6,44,2,IT
01/01/2019,76,acmehealth.co.uk,Marian,Jennison,marian.jennison@acmehealth.co.uk,6,46,2,IT
01/01/2019,77,acmehealth.co.uk,Lacee,Ferrand,lacee.ferrand@acmehealth.co.uk,6,46,2,IT
01/01/2019,78,acme.co.uk,Kris,Womersley,kris.womersley@acme.co.uk,4,23,1,IT
01/01/2019,79,acmehealth.co.uk,Aleksandr,Baser,aleksandr.baser@acmehealth.co.uk,7,51,2,IT
01/01/2019,80,acme.co.uk,Herbert,MacPharlain,herbert.macpharlain@acme.co.uk,4,23,1,IT
